name,company web_site,info,company categories
SpectraCal,http://spectracal.com,"17544 Midvale Ave. N. Suite #100
 Shoreline, WA 98133
 United States
 P: 206-420-7514
 F: 206-299-0465
 
								http://spectracal.com","Exhibitor Categories (3)
									
										
											
												
													Distribution & Delivery > Test and Measurement Equipment/QoS
												
													Management & Systems > Workflow Software and Solutions/Systems Integration
												
													Post-Production > Workflow Solutions"
Skreens Entertainment Technologies,http://www.skreens.com,"PO Box 626
 Foxboro, MA 02035
 P: (617) 513-2943
 
								http://www.skreens.com","Exhibitor Categories (5)
									
										
											
												
													Connected Media > Connected/Hybrid TV
												
													Connected Media > OTT/Interactive TV Applications
												
													Connected Media > Second-screen Solutions
												
													Connected Media > Set Top Boxes/In Home Equipment
												
													Connected Media > Social TV Solutions"
"Gnural Net, Inc",http://www.gnuralnet.com,"248 Garden Place, Suite 1
 Trenton, NJ 08691
 USA
 P: (609) 223-2434
 
								http://www.gnuralnet.com","Exhibitor Categories (5)
									
										
											
												
													Acquisition & Production > Telecollaboration
												
													Connected Media > Social TV Solutions
												
													Distribution & Delivery > Streaming/Webcasting
												
													Distribution & Delivery > Telepresence/HD Videoconferencing
												
													Management & Systems > Cloud Computing Solutions"
BRAINSTORM MULTIMEDIA,http://www.brainstorm3d.com,"Avda. de la Albufera, 321
 Madrid 28031
 Spain
 P: +34-917-816-752
 
								http://www.brainstorm3d.com","Exhibitor Categories (3)
									
										
											
												
													Acquisition & Production > Motion Capture/Virtual Production
												
													Acquisition & Production > Set Design/Props/Furniture and Fixtures
												
													Post-Production > Motion Graphics"
Manfrotto,http://www.manfrotto.us,"10 Mountainview Road, Suite 320 South
 Upper Saddle River, NJ 07458
 United States
 P: 201-818-9500
 
								http://www.manfrotto.us","Exhibitor Categories (2)
									
										
											
												
													Acquisition & Production > Capture Accessories, Devices and Software
												
													Acquisition & Production > Lighting and Grip"
Lanner Electronics,http://www.lannerinc.com,"6461 Northam Drive
 Mississauga, ON L4V 1J2
 Canada
 P: 1 877 813 2132
 F: (905) 362 2369
 
								http://www.lannerinc.com","Exhibitor Categories (5)
									
										
											
												
													Display Systems > Digital Signage (Hardware and Software)
												
													Distribution & Delivery > Broadband Applications/Infrastructure/Equipment
												
													Management & Systems > Digital Asset Management and Storage
												
													Management & Systems > IT/Networking Infrastructure and Security
												
													Management & Systems > Video/Content Servers/Video Processing"
DBA Systems,http://www.dbasys.com,"Hidalgo 1087
 Caba, Buenos Aires C1405BCQ
 Argentina
 P: +54-(11)4958-7700
 F: +54-(11)4958-7701
 
								http://www.dbasys.com","Exhibitor Categories (1)
									
										
											
												
													Pro Audio > Audio Mixers"
Promise Technology,http://www.promise.com/,"580 Cottonwood Drive
 Milpitas, CA 95035
 United States
 P: (408) 228-1400
 F:  (408) 228-1100
 
								http://www.promise.com/","Exhibitor Categories (5)
									
										
											
												
													Acquisition & Production > Mobile/Vehicle Production
												
													Acquisition & Production > Motion Picture/Film Production
												
													Management & Systems > Cloud Computing Solutions
												
													Post-Production > Editing
												
													Post-Production > Workflow Solutions"
COM-TECH Italia SpA,http://www.com-tech.it,"Via Artigianato 9
 Morbegno 23017
 Italy
 P: 39-034-260-1159
 
								http://www.com-tech.it","Exhibitor Categories (3)
									
										
											
												
													Distribution & Delivery > DAB/IBOC/HD Digital Radio
												
													Distribution & Delivery > DTV/HDTV
												
													Distribution & Delivery > Microwave/RF Accessories"
"GenArts, Inc.",http://www.genarts.com/,"955 Massachusetts Avenue
 Cambridge, MA 02139
 United States
 P: 617-492-2888
 
								http://www.genarts.com/","Exhibitor Categories (3)
									
										
											
												
													Post-Production > Animation and VFX
												
													Post-Production > Editing
												
													Post-Production > Motion Graphics"
American Grip Inc.,http://Americangrip.com,"8468 Kewen Avenue
 Sun Valley, CA 91352
 United States
 P: 818-768-8922
 
								http://Americangrip.com","Exhibitor Categories (1)
									
										
											
												
													Acquisition & Production > Lighting and Grip"
Zayo Group,http://www.zayo.com,"1805 29th St.
 Boulder, CO 80301
 United States of America
 P: 720-484-8541
 
								http://www.zayo.com","Exhibitor Categories (1)
									
										
											
												
													Management & Systems > IT/Networking Infrastructure and Security"
"Inovonics, Inc.",http://www.inovonicsbroadcast.com,"5805 Highway 9
 Felton, CA 95018
 United States
 P: 831-458-0552
 F: 831-458-0554
 
								http://www.inovonicsbroadcast.com","Exhibitor Categories (4)
									
										
											
												
													Distribution & Delivery > DAB/IBOC/HD Digital Radio
												
													Pro Audio > Audio Processing and Effects
												
													Radio > DAB/IBOC/HD Digital Radio
												
													Radio > Radio Master Control"
Cantemo AB,http://www.cantemo.com,"Drottninggatan 95A
 Stockholm 11360
 Sweden
 P: +46 (0) 7202 17785
 
								http://www.cantemo.com","Exhibitor Categories (2)
									
										
											
												
													Management & Systems > Digital Asset Management and Storage
												
													Management & Systems > Search/Metadata Software/Applications"
