PLASTICSTODAY/UBM CANON,310-445-4200,,"Santa Monica, CA 90405",Santa Monica,"2901 28th Street, Suite 100"
BIG 3 PRECISION MOLD SERVICES INC.,618-533-3251,618-533-0167,"Centralia, IL 62801",Centralia,2923 S. Wabash Ave.
"ACRISON, INC.",201-440-8300,201-440-4939,"Moonachie, NJ 07074",Moonachie,20 Empire Boulevard
ADDEX INCORPORATED,781-344-5800,781-344-5766,"Stoughton, MA 02072",Stoughton,154 Maple St
ADELL CORPORATION,410-789-7780,410-789-2804,"Baltimore, MD 21227",Baltimore,4530 Annapolis Rd
ADVANTAGE ENGINEERING INC.,317-887-0729,317-881-1277,"Greenwood, IN 46143",Greenwood,525 E Stop 18 Rd
"AIR PRODUCTS AND CHEMICALS, INC.",800-654-4567,800-272-4449,"Allentown, PA 18195",Allentown,7201 Hamilton Blvd.
ALBA ENTERPRISES,909-941-0600,909-941-0190,"Rancho Cucamonga, CA 91730",Rancho Cucamonga,10260 Indiana Ct.
ALBIS PLASTICS CORPORATION,832-294-2702,281-903-7357,"Sugar Land, TX 77478",Sugar Land,"13131 Dairy Ashford Road, Ste. 105"
HONEYWELL PROCESS SOLUTIONS,778-668-3625,,"Houston, TX 77042",Houston,1250 W. Sam Houston Pwy
HOSOKAWA ALPINE AMERICAN,508-655-1123,508-655-9337,"Natick, MA 01760",Natick,5 Michigan Dr
"ALPS - AIR LOGIC POWER SYSTEMS, LLC",414-671-3332,414-671-6645,"Milwaukee, WI 53215",Milwaukee,"1745 S 38th St., Suite 100"
LEISTRITZ,908-685-2333,908-685-0247,"Somerville, NJ 08876",Somerville,175 Meister Ave
AMERICAN ROTARY TOOLS CO.- ARTCO,626-358-8466,626-358-0076,"Monrovia, CA 91016",Monrovia,250 West Duarte Road #E
"AMERICHEM, INC.",330-929-3125,330-929-4144,"Cuyahoga Falls, OH 44221",Cuyahoga Falls,2000 Americhem Way
BATTENFELD-CINCINNATI USA,620-241-6843,620-241-0207,"McPherson, KS 67460",McPherson,823 S. Bypass
"AMPCO METAL, INC.",847-437-6000,847-537-6008,"Arlington Heights, IL 60005",Arlington Heights,1117 East Algonquin Road
"ANGLE TOOL WORKS, INC.",630-325-0200,630-325-0205,"Burr Ridge, IL 60527",Burr Ridge,16 W 171 83rd St
"AOKI TECHNICAL LABORATORY, INC.",+81-268-82-0111,+81-268-82-3699,,,
APEX MACHINE CO.,954-566-1572,954-563-2844,"Fort Lauderdale, FL 33334",Fort Lauderdale,3000 NE 12th Terrace
APEX ENGINEERING - MODULAR EXTRUSION,812-838-0148,812-838-0150,"Mount Vernon, IN 47620",Mount Vernon,5521 Industrial Rd.
AEC,262-641-8600,262-641-8653,"New Berlin, WI 53151",New Berlin,2900 S 160th St
B&P PROCESS EQUIPMENT AND SYSTEMS,989-757-1300,989-757-1301,"Saginaw, MI 48601",Saginaw,1000 Hess Avenue
"ARBURG, INC.",860-667-6500,860-667-6524,"Newington, CT 06111",Newington,125 Rockwell Rd
BRASKEM,215-841-3100,215-841-3195,"Philadelphia, PA 19103",Philadelphia,1735 Market Street
ARIZONA INSTRUMENT,602-470-1414,602-281-1745,"Chandler, AZ 85225",Chandler,3375 N. Delaware Street
ROUTSIS TRAINING,978-957-0700,978-957-1860,"Dracut, MA 01826",Dracut,275 Donohue Rd Suite1
NATIONAL PLASTIC ASSOCIATION,+52-55-5576-5547,,,,
ASSOCOMAPLAST,-+39 02 8228371,-+39 02 57512490,,,
"ATHENA CONTROLS, INC.",610-729-1030,610-729-1031,"Plymouth Meeting, PA 19462",Plymouth Meeting,5145 Campus Drive
"ATLAS MATERIAL TESTING TECHNOLOGY, LLC",773-327-4520,773-327-5787,"Mount Prospect, IL 60056",Mount Prospect,1500 Bishop Court
AVALON VISION SOLUTIONS,770-944-8445,770-941-7299,"Lithia Springs, GA 30122",Lithia Springs,422 Thornton Rd Ste 104
"TREXEL, INC.",781-932-0202,781-932-3324,"Wilmington, MA 01887",Wilmington,100 Research Drive
BAERLOCHER USA,513-482-6300,513-242-9213,"Cincinnati, OH 45232",Cincinnati,5890 Highland Ridge Drive
EUROTHERM,703-724-7300,703-724-7301,"Ashburn, VA 20147",Ashburn,44621 Guilford Dr Suite 100
"GLOUCESTER ENGINEERING CO., INC.",978-281-1800,978-282-9494,"Gloucester, MA 01930",Gloucester,"11 Dory Rd, Blackburn Industrial Park"
ALPHAGARY CORPORATION,978-537-8071,978-840-0856,"Leominster, MA 01453",Leominster,170 Pioneer Drive
BEKUM AMERICA CORPORATION,517-655-4331,517-655-4121,"Williamston, MI 48895",Williamston,"1140 W. Grand River Ave, P O Box 567"
BERG CHILLING SYSTEMS INC.,416-755-2221,416-755-3874,,,
BST PROCONTROL GMBH,492-761-6120,,,,
BIELOMATIK INC.,248-264-7142,,"New Hudson, MI 48165",New Hudson,55397 Lyon Industrial Dr
BIXBY INTERNATIONAL,978-462-4100,,"Newburyport, MA 01950",Newburyport,1 Preble Rd
"BLOW MOLD TOOLING, INC.",905-678-2341,905-678-9510,,,
"BOSTON MATTHEWS, INC.",201-767-7111,201-767-6293,"Coral Springs, FL 33076",Coral Springs,12136 Wiles Road
BOY MACHINES INC.,610-363-9121,610-363-0163,"Exton, PA 19341",Exton,199 Philips Rd
BRAMPTON ENGINEERING INC.,905-793-3000,905-793-1753,,,
BRANSON ULTRASONICS CORP.,203-796-0400,203-796-9838,"Danbury, CT 06810",Danbury,41 Eagle Rd
BROWN MACHINE LLC,989-435-7741,989-435-2821,"Beaverton, MI 48612",Beaverton,"330 N Ross St, PO Box 434"
BUCKMAN,901-278-0330,,"Memphis, TN 38108",Memphis,1256 North McLean Blvd
BUNTING MAGNETICS CO.,316-284-2020,316-283-3408,"Newton, KS 67114",Newton,"500 S Spencer Rd, PO Box 468"
"BUSS, INC. - USA",630-933-9100,630-933-0400,"Carol Stream, IL 60188",Carol Stream,743 Kimberly Drive
NATUREWORKS LLC,952-562-3400,,"Minnetonka, MN 55345",Minnetonka,15305 Minnetonka Blvd
"CARTER DAY INTERNATIONAL, INC.",763-571-1000,763-571-3012,"Minneapolis, MN 55432",Minneapolis,500 73rd Ave NE
CASSCO MACHINES - CASSCO AUTOMATION,416-445-6262,416-445-3790,,,
"CAVAFORM INTERNATIONAL, LLC",727-384-3676,727-384-0523,"Saint Petersburg, FL 33710",Saint Petersburg,2700 72nd St N
"CB MANUFACTURING & SALES CO.., INC.",937-866-5986,937-528-2006,"Miamisburg, OH 45432",Miamisburg,4475 Infirmary Rd.
CBW AUTOMATION,970-229-9500,970-229-9600,"Fort Collins, CO 80525",Fort Collins,3939 Automation Way
CENTRAL COATING COMPANY,508-835-6225,508-835-6228,"West Boylston, MA 01583",West Boylston,165 Shrewsbury Street
CPM CENTURY EXTRUSION,231-947-6400,231-947-8400,"Traverse City, MI 49686",Traverse City,2412 W Aero Park Ct.
"CHASE PLASTIC SERVICES, INC.",248-620-2120,248-620-7646,"Clarkston, MI 48346",Clarkston,6467 Waldon Center Drive
CHEMINEER,978-687-0101,978-687-8500,"North Andover, MA 01845",North Andover,125 Flagship Drive
MILACRON,513-536-2000,513-536-2624,"Batavia, OH 45103",Batavia,4165 Half Acre Road
IHS CHEMICAL,703-236-2411,,"Englewood, CO 80112",Englewood,15 Inverness Way
COMET PLASTIC EQUIPMENT,561-842-0011,561-841-0400,"Riviera Beach, FL 33404",Riviera Beach,"6555 Garden Road, Unit 14/15"
CONAIR GROUP,724-584-5500,724-584-5299,"Cranberry Township, PA 16066",Cranberry Township,200 West Kensinger Drive
CORMA,905-669-9397,905-738-4744,,,
CRIZAF S.R.L.,+39--02-9619951,+39--02-96199536,,,
CUMBERLAND,262-641-8600,562-641-8653,"New Berlin, WI 53151",New Berlin,2900 S. 160th Street
C.W. BRABENDER INSTRUMENTS INC,201-343-8425,201-343-0608,"South Hackensack, NJ 07606",South Hackensack,"50 E Wesley St, PO Box 2127"
"DAIKIN AMERICA, INC.",845-365-9500,845-365-9515,"Orangeburg, NY 10962",Orangeburg,20 Olympic Drive
"DAVIS-STANDARD, LLC",860-599-1010,860-599-6258,"Pawcatuck, CT 06379",Pawcatuck,1 Extrusion Drive
DAYGLO COLOR CORP.,216-391-7070,216-391-7751,"Cleveland, OH 44103",Cleveland,4515 Saint Clair Avenue
DESCO EQUIPMENT CORPORATION,330-405-1581,330-405-1584,"Twinsburg, OH 44087",Twinsburg,1903 Case Pkwy.
DEWAL INDUSTRIES,401-789-9736,401-783-6780,"Narragansett, RI 02882",Narragansett,15 Ray Trainor Drive
DIVERSIFIED PRINTING TECHNIQUES,704-583-9433,704-583-9439,"Charlotte, NC 28273",Charlotte,13336 South Ridge Dr.
PROGRESSIVE COMPONENTS INTERNATIONAL CORPORATION,847-487-1000,847-487-1027,"Wauconda, IL 60084",Wauconda,235 Industrial Dr
THE DOW CHEMICAL COMPANY,281-966-2000,281-966-4287,"Houston, TX 77077",Houston,"1254 Enclave Parkway, Office 2124"
DRADER MANUFACTURING INDUSTRIES LTD.,780-440-2231,780-440-2244,,,
"DRI-AIR INDUSTRIES, INC.",860-627-5110,860-623-4477,"East Windsor, CT 06088",East Windsor,16 Thompson Rd
DSM,812-435-7539,,"Evansville, IN 47720",Evansville,2267 West Mill Road
DUKANE CORPORATION,630-797-4900,630-797-4949,"St. Charles, IL 60174",St. Charles,2900 Dukane Drive
"DYNISCO, LLC",508-541-9400,508-541-6206,"Franklin, MA 02038",Franklin,38 Forge Parkway
EASTMAN CHEMICAL CO.,423-229-2000,423-229-1525,"Kingsport, TN 37662",Kingsport,200 S Wilcox Dr
EASTON PRECISION INDUSTRIES CORP.,+886-(0)-2-22994911,+886-(0)-2-22996211,,,
"E-BEAM SERVICES, INC.",513-933-0031,513-933-0542,"Lebanon, OH 45036",Lebanon,2775 Henkle Drive
